equation,answer
"2x\,\mathrm{d}y+y\,\mathrm{d}x+x y^{2}(x\,\mathrm{d}y+y\,\mathrm{d}x)=0.",y=0
"x\,\mathrm{d}x+(x^{2}\ctg y-3\cos y)\,\mathrm{d}y=0.",x^{2}\sin^{2}y=2\sin^{3}y+C.
x^{2}y^{\prime2}-2(x y-2)y^{\prime}+y^{2}=0.,1-x y=(C x-1)^{2};
x^{2}y^{\prime2}-2(x y-2)y^{\prime}+y^{2}=0.,x y=1
x^{2}y^{\prime2}-2(x y-2)y^{\prime}+y^{2}=0.,y=0.
x y^{\prime}+1=\mathrm{e}^{x-y}.,x\mathrm{e}^{y}=\mathrm{e}^{x}+C.
y^{\prime} = \tg{y - 2x},\sin(y-2x)-2\cos(y-2x)=C\mathrm{e}^{x+2y}
3x^{2}-y=y^{\prime}{\sqrt{x^{2}+1}}.,y=(2x+C)\sqrt{x^{2}+1}-x^{2}-C x-2.
y y^{\prime}+x y=x^{3}.,"(y+x^{2})^{2}(2y-\,x^{2})=C."
x(x-1)y^{\prime}+y^{3}=x y.,(x-1)^{2}=y^{2}(2x-2\ln C x);
x(x-1)y^{\prime}+y^{3}=x y.,y=0.
x y^{\prime}=2y+y\sqrt{{1+y^{\prime}{}^{2}}}.,"x=p[\mathrm{ln}(1+\,\,\sqrt{p^{2}+1})-\ln C p],\;2y\,=\,x p-\,\sqrt{p^{2}+1}"
x y^{\prime}=2y+y\sqrt{{1+y^{\prime}{}^{2}}}.,"2y\,=\,-1."
(2x+y+5)y^{\prime}=3x+6.,"(y+3x+\,7)(y-x-1)^{3}=C."
"y^{\prime}+\mathrm{tg}\,y=x\,\mathrm{sec}\,y.",\sin y=C\mathrm{e}^{-x}+x-1.
y^{\prime}{}^{4}=4y(x y^{\prime}-2y)^{2}.,y=C^{2}(x-C)^{2};
y^{\prime}{}^{4}=4y(x y^{\prime}-2y)^{2}.,16y\;=\;x^{4}
y^{\prime}={\frac{y^{2}-x}{2y(x+1)}}.,"y^{2}\;=\;x\;-\;(x\,+\,1)\mathrm{ln}\,C(x\,+\,1)."
x y^{\prime}=x^{2}\mathrm{e}^{-y}+2.,"\mathrm{e}^{y}\ = x^{2}\mathrm{ln}\,C x."
y^{\prime}=3x+{\sqrt{y-x^{2}}}.,(y-2x{\sqrt{y-x^{2}}})(2{\sqrt{y-x^{2}}}+x)=C.
"x\,{\mathrm{d}}y-2y\,{\mathrm{d}}x+x y^{2}(2x\,{\mathrm{d}}y+y\,{\mathrm{d}}x)=0.",x y^{2}=\ln x^{2}-\ln C y;
"x\,{\mathrm{d}}y-2y\,{\mathrm{d}}x+x y^{2}(2x\,{\mathrm{d}}y+y\,{\mathrm{d}}x)=0.",x=0;
"x\,{\mathrm{d}}y-2y\,{\mathrm{d}}x+x y^{2}(2x\,{\mathrm{d}}y+y\,{\mathrm{d}}x)=0.",y=0.
"(x^{3}-2x y^{2})\,{\mathrm{d}}x+3x^{2}y\,{\mathrm{d}}y=x\,{\mathrm{d}}y-y\,{\mathrm{d}}x.",x(y^{2}+x^{2})^{3}={\textstyle\frac{2}{5}}y^{5}+{\textstyle\frac{4}{3}}x^{2}y^{3}+2x^{4}y+C x^{5};
"(x^{3}-2x y^{2})\,{\mathrm{d}}x+3x^{2}y\,{\mathrm{d}}y=x\,{\mathrm{d}}y-y\,{\mathrm{d}}x.",x=0.
(y y^{\prime})^{3}=27x(y^{2}-2x^{2}).,"(u-1)\ln C x^{6}(u-1)^{5}(u+2)^{4}=3,"
(y y^{\prime})^{3}=27x(y^{2}-2x^{2}).,y^{2}=3x^{2}.
y^{\prime}-8x{\sqrt{y}}={\frac{4x y}{x^{2}-1}}.,{\sqrt{y}}=(x^{2}-1)(2\ln|x^{2}-1|+C);
y^{\prime}-8x{\sqrt{y}}={\frac{4x y}{x^{2}-1}}.,y=0.
"[2x-\ln(y+1)]\,\mathrm{d}x-{\frac{x+y}{y+1}}\,\mathrm{d}y=0.",x^{2}-(x-1)\ln(y+1)-y=C.
"x y^{\prime}=(x^{2}+\mathrm{tg}\,y)\cos^{2}y.",\mathrm{tg}y=x^{2}+Cx;
"x y^{\prime}=(x^{2}+\mathrm{tg}\,y)\cos^{2}y.","y={(2k+1)\pi}/2,\,k=0,\pm1,\,\pm2,\,\cdots\,."
x^{2}(y-x y^{\prime})=y y^{\prime}{}^{2}.,y^{2}=C x^{2}+C^{2}
y^{\prime}=\frac{3x^{2}}{x^{3}+y+1}.,x^{3}=C\mathrm{e}^{y}-y-2.
y^{\prime}=\frac{(1+y)^{2}}{x(y+1)-x^{2}}.,y+1=x\ln C(y+1);
y^{\prime}=\frac{(1+y)^{2}}{x(y+1)-x^{2}}.,y=-1.
(y-2x y^{\prime})^{2}=4y y^{\prime^{3}}.,y^{2}=2C^{2}(x{-}C)
(y-2x y^{\prime})^{2}=4y y^{\prime^{3}}.,8x^{3}=27 y^{2}.
"6x^{5}y\,\mathrm{d}x+(y^{4}\ln y-3x^{6})\,\mathrm{d}y=0.",x^{6}=y^{3}(C-y\ln y+y)
"6x^{5}y\,\mathrm{d}x+(y^{4}\ln y-3x^{6})\,\mathrm{d}y=0.",y=0
y^{\prime}=\frac{1}{2}\sqrt{x}+\sqrt[3]{y},"\ln C(u-v)^{3}{\Big(}u^{2}+u v+{\frac{v^{2}}{3}}{\Big)}^{2}=2\operatorname{arctg}(1+2u/v), u^{3}=y, v^{2}=x;\,y^{2}=x^{3}"
2x y^{\prime}+1=y+{\frac{x^{2}}{y-1}}.,(y-1)^{2}=x^{2}+C x.
y y^{\prime}+x={\frac{1}{2}}\left({\frac{x^{2}+y^{2}}{x}}\right)^{2},(x^{2}+y^{2})(C x+1)=x.
y^{\prime}=\left({\frac{3x+y^{3}-1}{y}}\right)^{2}.,3x+y^{3}-1=\mathrm{tg}(3x+C).
"\left(x\sqrt{y^{2}+1}+1\right)\left(y^{2}+1\right)\mathrm{d}x=x y\,\mathrm{d}y.","(C-x^{2})\,{\sqrt{y^{2}+1}}=2x."
(x^{2}+y^{2}+1)y y^{\prime}+(x^{2}+y^{2}-1)x=0.,(x^{2}+y^{2}+1)^{2}=4x^{2}+C
"y^{2}(x-1)\,\mathrm{d}x=x(x y+x-2y)\,\mathrm{d}y.",xy - x = y(y - x)\ln|Cy/(y-x)|
"y^{2}(x-1)\,\mathrm{d}x=x(x y+x-2y)\,\mathrm{d}y.",y = 0
"y^{2}(x-1)\,\mathrm{d}x=x(x y+x-2y)\,\mathrm{d}y.",x=0
"y^{2}(x-1)\,\mathrm{d}x=x(x y+x-2y)\,\mathrm{d}y.",y=x
(x y^{\prime}-y)^{2}=x^{2}y^{2}-x^{4}.,y=\pm x\operatorname{ch}(x+C);
(x y^{\prime}-y)^{2}=x^{2}y^{2}-x^{4}.,y=\pm x.
x y y^{\prime}-x^{2}{\sqrt{y^{2}+1}}=(x+1)(y^{2}+1).,{\sqrt{y^{2}+1}}=x(C\mathrm{e}^{x}-1).
(x^{2}-1)y^{\prime}+y^{2}-2x y+1=0.,(y-x)\ln C{\frac{x-1}{x+1}}\;=\;2
(x^{2}-1)y^{\prime}+y^{2}-2x y+1=0.,y\;=\;x.
"y^{\prime}\ {\mathrm{tg}}\,y+4x^{3}\cos y=2x.","({ C}\mathrm{e}^{x^{2}}+2x^{2}+2)\cos y\,=\,1."
(x y^{\prime}-y)^{2}=y^{\prime2}-{\frac{2y y^{\prime}}{x}}+1,(y^{2}-C x^{2}+1)^{2}=4(1-C)y^{2};
(x y^{\prime}-y)^{2}=y^{\prime2}-{\frac{2y y^{\prime}}{x}}+1,y=\pm x.
"(x+y)(1-x y)\,\mathrm{d}x+(x+2y)\,\mathrm{d}y=0.",y^{2}+x y-1=C\mathrm{e}^{x^{2}/2}.
"(3x y+x+y)y\,{\mathrm{d}}x+(4x y+x+2y)x\,{\mathrm{d}}y=0.",6x^{3}y^{4}+2x^{3}y^{3}+3x^{2}y^{4}=C.
"(x^{2}-1)\,{\mathrm d}x+(x^{2}y^{2}+x^{3}+x)\,{\mathrm d}y=0.",x+{\frac{1}{x}}+y^{2}-2y+2=C\mathrm{e}^{-y};
x(y^{\prime}{}^{2}+\mathrm{e}^{2y})\underline{{{}}}=-2y^{\prime}.,x^{2}=\mathrm{e}^{-2y}.
"(x^{2}-1)\,{\mathrm d}x+(x^{2}y^{2}+x^{3}+x)\,{\mathrm d}y=0.",x=0.
x(y^{\prime}{}^{2}+\mathrm{e}^{2y})\underline{{{}}}=-2y^{\prime}.,\mathrm{e}^{y}({C}^{2}x^{2}+1)=2C
x^{2}y^{\prime\prime}=y^{\prime 2},C_{1}x-C_{1}^{2}y=\ln|C_{1}x+1|+C_{2};
x^{2}y^{\prime\prime}=y^{\prime 2},2y=x^{2}+C;
x^{2}y^{\prime\prime}=y^{\prime 2},y=C.
2x y^{\prime}y^{\prime\prime}=y^{\prime 2}-1.,9C_{1}^{2}(y-C_{2})^{2}=4(C_{1}x+1)^{3}
2x y^{\prime}y^{\prime\prime}=y^{\prime 2}-1.,y=\pm x+C.
y^{3}y^{\prime\prime}=1,C_{1}y^{2}-1=(C_{1}x+C_{2})^{2}.
y^{\prime^{2}}+2y y^{\prime\prime}=0,y^{3}=C_{1}(x+C_{2})^{2};
y^{\prime^{2}}+2y y^{\prime\prime}=0,y=C.
y^{\prime\prime}=2y y^{\prime},y=C_{1}\mathrm{tg}(C_{1}x+C_{2})
y^{\prime\prime}=2y y^{\prime},\ln\big|\frac{y-C_{1}}{y+C_1}\big|=2C_{1}x+C_{2}
y^{\prime\prime}=2y y^{\prime},y=(C-x)=1;
y^{\prime\prime}=2y y^{\prime},y=C.
y y^{\prime\prime}+1=y^{\prime2},C_{1}y=\sin(C_{1}x+{C}_{2});
y y^{\prime\prime}+1=y^{\prime2},{C}_{1}y=\pm\sh(C_{1}x+C_{2});
y y^{\prime\prime}+1=y^{\prime2},y=C\pm x.
y^{\prime\prime}(\mathrm{e}^{x}+1)+y^{\prime}=0,y=C_{1}(x - \mathrm{e}^{-x})+C_{2}.
y^{\prime\prime\prime}=y^{\prime\prime2},y=C_{3}-(x+C_{1})\ln C_{2}(x+C_{1});
y^{\prime\prime\prime}=y^{\prime\prime2},y=C_{1}x+C_{2}.
y y^{\prime\prime}=y^{\prime2}-y^{\prime3},y+C_{1}\ln|y|=x+C_{2}
y y^{\prime\prime}=y^{\prime2}-y^{\prime3},y=C.
y^{\prime\prime\prime}=2(y^{\prime\prime}-1)\operatorname{ctg}x.,2y=C_{1}\cos2x+(1+2C_{1})x^{2}+C_{2}x+C_{3}.
2y y^{\prime\prime}=y^{2}+y^{\prime 2},y=C_{1}[1\pm\mathrm{ch}(x+C_{2})]
2y y^{\prime\prime}=y^{2}+y^{\prime 2},y=C\mathrm{e}^{\pm x}.
y^{\prime\prime^{3}}+x y^{\prime\prime}=2y^{\prime}.,"x=C_{1}p+3p^{2},y={\textstyle\frac{12}{5}p^{5}}+{\textstyle\frac{5}{4}}C_{1}p^{4}+C_{1}^{2}{\textstyle\frac{p^{3}}{6}}+C_{2};"
y^{\prime\prime^{3}}+x y^{\prime\prime}=2y^{\prime}.,y=C.
y^{\prime\prime2}+y^{\prime}=x y^{\prime\prime}.,y=C_{1}{\frac{x^{2}}{2}}-C_{1}^{2}x+C_{2};
y^{\prime\prime2}+y^{\prime}=x y^{\prime\prime}.,y=({x}^{3}/12)+C
y^{\prime\prime}+y^{\prime 2}=2\mathrm{e}^{-y}.,\mathrm{e}^{y}+C_{1} = (x+C_{2})^{2}.
x y^{\prime\prime\prime}=y^{\prime\prime}-x y^{\prime\prime}.,"y=C_{1}(x+2)\mathrm{e}^{-x}+\,C_{2}x+C_{3}."
y^{\prime\prime2}=y^{\prime2}+1.,y=\pm\operatorname{ch}(x+C_{1})+C_{2}.
y^{\prime\prime}=\mathrm{e}^{y}.,\mathrm{e}^{y}\sin^{2}(C_{1}x+C_{2})=2C_{1}^{2};
y^{\prime\prime}=\mathrm{e}^{y}.,"\mathrm{e}^{y}\,\mathrm{sh}^{2}(C_{1}x+C_{2})=2C_{1}^{2}"
y^{\prime\prime}=\mathrm{e}^{y}.,\mathrm{e}^{y}(x+C)^{2}=2.
y^{\prime\prime}-x y^{\prime\prime\prime}+y^{\prime\prime \prime 3}=0.,"y=C_{1}\frac{x^{3}}{6}-C_{1}^{3}\frac{x^{2}}{2}+C_{2}x\left.+\,C_{3}"
y^{\prime\prime}-x y^{\prime\prime\prime}+y^{\prime\prime \prime 3}=0.,y=\frac{\pm8}{315}x^{3}\sqrt{3x}+C_{1}x+C_{2}.\right.
2y^{\prime}(y^{\prime\prime}+2)=x y^{\prime\prime2}.,3C_{1}y=(x-C_{1})^{3}+C_{2}
2y^{\prime}(y^{\prime\prime}+2)=x y^{\prime\prime2}.,y=C;
2y^{\prime}(y^{\prime\prime}+2)=x y^{\prime\prime2}.,y=C-2x^{2}.
y^{4}-y^{3}y^{\prime\prime}=1.,\ln\big|y^{2}+C_{1}\pm\sqrt{y^{4}+2C_{1}y^{2}+1}\big|=2x+C_{2}
y^{4}-y^{3}y^{\prime\prime}=1.,y=\pm1.
y^{\prime 2}=(3y-2y^{\prime})y^{\prime\prime}.,"x=3C_{1}p^{2}+\ln C_{2}p,\,y=2C_{1}p^{3}+p"
y^{\prime 2}=(3y-2y^{\prime})y^{\prime\prime}.,y=C.
y^{\prime\prime}(2y^{\prime}+x)=1.,"x=C_{1}\mathrm{e}^{p}-2p-2, y\,=\,C_{1}(p-1)\mathrm{e}^{p}-p^{2}+C_{2}."
y^{\prime\prime^{2}}-2y^{\prime}y^{\prime\prime\prime}+1=0.,12(C_{1}y-x)=C_{1}^{2}(x+C_{2})^{3}+C_{3}.
(1-x^{2})y^{\prime\prime}+x y^{\prime}=2.,"y\,=\,x^{2}+C_{1}+C_{2}(x\sqrt{x^{2}-1}-\ln\vert x+\sqrt{x^{2}-1}\vert)"
(1-x^{2})y^{\prime\prime}+x y^{\prime}=2.,"y\,=\,x^{2}+C_{1}+C_{2}(x\sqrt{1-x^{2}}+\mathrm{arcsin}{x})."
y y^{\prime\prime}-2y y^{\prime}\ln y=y^{\prime2}.,\ln y\ =\ C_{1}\mathop{\mathrm{tg}}(C_{1}x+C_{2})
y y^{\prime\prime}-2y y^{\prime}\ln y=y^{\prime2}.,"\ln\vert(\ln y\,-\,C_{1}\big)/(\ln y+C_{1})\vert=2C_{1}x+C_{2}"
y y^{\prime\prime}-2y y^{\prime}\ln y=y^{\prime2}.,(C-x)\ln y=1;
y y^{\prime\prime}-2y y^{\prime}\ln y=y^{\prime2}.,y=C.
(y^{\prime}+2y)y^{\prime\prime}=y^{\prime}{}^{2}.,x=u-\ln|1+u|+C_{2}
(y^{\prime}+2y)y^{\prime\prime}=y^{\prime}{}^{2}.,y=C
(y^{\prime}+2y)y^{\prime\prime}=y^{\prime}{}^{2}.,y=C\mathrm{c}^{-x}.
x y^{\prime\prime}=y^{\prime}+x\sin{\frac{y^{\prime}}{x}},"C_{1}y==(C_{1}^{2}x^{2}+1)\mathrm{arctg}\,C_{1}x-C_{1}x+C_{2};"
x y^{\prime\prime}=y^{\prime}+x\sin{\frac{y^{\prime}}{x}},"2y=k\pi x^{2}+C,"
y^{\prime\prime\prime}y^{\prime2}=y^{\prime\prime3}.,"x=\ln|p|+2C_{1}p-C_{2},\,y=p+C_{1}p^{2}+C_{3};"
y^{\prime\prime\prime}y^{\prime2}=y^{\prime\prime3}.,y=C_{1}x+C_{2}.
y y^{\prime\prime}+y=y^{\prime}{}^{2}.,"C_{1}^{2}y + 1\,=\,\pm\operatorname{ch}(C_{1}x+C_{2});"
y y^{\prime\prime}+y=y^{\prime}{}^{2}.,"C_{1}^{2}y\,-\,1\;=\;\sin(C_{1}x+C_{2})"
y y^{\prime\prime}+y=y^{\prime}{}^{2}.,"2y\;=\;(x\,+\,C)^{2};"
y y^{\prime\prime}+y=y^{\prime}{}^{2}.,y=0
x y^{\prime\prime}=y^{\prime}+x(y^{\prime2}+x^{2}).,"y\,=\,C_{2}\,-\,\mathrm{ln}\bigr|\mathrm{cos}\bigl({\frac{x^{2}}{2}}\,+\,C_{1}\bigr)\bigr|\,."
x y^{\mathrm{{IV}}}=1.,"6y\,=\,x^{3}\,\mathrm{ln}\vert x\vert+C_{1}x^{3}{}+C_{2}x^{2}+C_{3}x+C_{4}."
x y^{\prime\prime}=\sin x.,y = x\int_0^x\frac{\sin{t}}{t}\mathrm{d}t + \cos{x} + C_1x + C_2
y^{\prime\prime\prime}=2x y^{\prime\prime}.,y=C_{1}\Bigr[x\int_0^x[e^{t^{2}}\mathrm{d}t-\frac{1}{2}(e^{x^{2}}-1)\Bigr]+C_{2}x+C_{3}.
x y^{IV}+y^{\prime\prime\prime}=\mathrm{e}^{x}.,y={\frac{x^{2}}{2}}\int_{1}^{x}{\frac{\mathrm{e}^{t}}{t}}\mathrm{d}t-{\frac{x+1}{2}}\mathrm{e}^{x}{}+C_{1}x^{2}\ln|x|+C_{2}x^{2}+C_{3}x+C_{4}.
y y^{\prime\prime\prime}+3y^{\prime}y^{\prime\prime}=0.,C_{2}y^{2}-C_{1}=C_{2}^{2}(x+C_{3})^{2}
y y^{\prime\prime\prime}+3y^{\prime}y^{\prime\prime}=0.,y=C.
y^{\prime}y^{\prime\prime\prime}=2y^{\prime\prime^{2}}.,C_{1}y=\ln|C_{1}x+C_{2}|+C_{3}
y^{\prime}y^{\prime\prime\prime}=2y^{\prime\prime^{2}}.,y=C_{1}x+C_{2}.
y y^{\prime\prime}=y^{\prime}(y^{\prime}+1).,C_{1}y-1=C_{2}\mathrm{e}^{C_{1}x};
y y^{\prime\prime}=y^{\prime}(y^{\prime}+1).,y=C-x
y y^{\prime\prime}=y^{\prime}(y^{\prime}+1).,y=0.
5y^{\prime\prime\prime}-3y^{\prime\prime}y^{IV}=0.,y=C_{1}x^{2}+C_{2}x+C_{3}
5y^{\prime\prime\prime}-3y^{\prime\prime}y^{IV}=0.,y=\pm{\sqrt{C_{1}x+C_{2}}}+C_{3}x+C_4
y y^{\prime\prime}+y^{\prime2}=1.,y^{2}=x^{2}+C_{1}x+C_{2}.
y^{\prime\prime}=x y^{\prime}+y+1.,y=\mathrm{e}^{x^{2}/2}\Bigl(C_{1}\int\mathrm{e}^{-x^{2}/2}\mathrm{d}x+C_{2}\Bigr)-1.
x y^{\prime\prime}=2y y^{\prime}-y^{\prime}.,y=C_1\mathrm{tg}(C_{1}\ln C_{2}x)
x y^{\prime\prime}=2y y^{\prime}-y^{\prime}.,y-C_{1}=C_{2}(y+C_{1})\vert x\vert^{2C_{1}}
x y^{\prime\prime}=2y y^{\prime}-y^{\prime}.,y\ln C x=-1.
x y^{\prime\prime}-y^{\prime}=\ x^{2}y y^{\prime}.,2\ln\left|\frac{y-C_{1}}{y+C_{1}}\right|=C_{1}x^{2}+C_{2}
x y^{\prime\prime}-y^{\prime}=\ x^{2}y y^{\prime}.,"y=4C_{1}\mathrm{tg}(C_{1}x^{2}+C_{2});\,\,y(C-x^{2})=\ 4"
x y^{\prime\prime}-y^{\prime}=\ x^{2}y y^{\prime}.,y\ =\ C.
x y y^{\prime\prime}-x y^{\prime2}=y y^{\prime}.,y\;=\;C_{2}\mathrm{e}^{C x^{2}}.
y y^{\prime\prime}=y^{\prime}+15y^{2}\sqrt{x}.,"C_{1}x+4x^{5/2}\ =\ln\,C_{2}y"
y y^{\prime\prime}=y^{\prime}+15y^{2}\sqrt{x}.,y\ = 0
(x^{2}+1)(y^{\prime^{2}}-y y^{\prime\prime})=x y y^{\prime}.,"y\,=\,C_{2}(x+\sqrt{x^{2}+1})^{C_{1}}."
x y y^{\prime\prime}+x y^{\prime2}=2y y^{\prime}.,"y^{2}\,=\,C_{1}\,x^{3}\,+\,C_{2}."
x^{2}y y^{\prime\prime}=(y-x y^{\prime})^{2}.,"y=\,C_{2}x\mathrm{e}^{-\,C_{1}/x}."
y^{\prime\prime}+\frac{y^{\prime}}{x}+\frac{y}{x^{2}}=\frac{{\bar{y}}^{\prime}{}^{2}}{y}.,"y\,=\,C_{2}|x|^{C_{1}-(1/2)\ln|x|}"
y(x y^{\prime\prime}+y^{\prime})= x y^{\prime2}(1-x).,"y=\,C_{2}\left|\frac{x}{x+C_{1}}\right|^{1/C_{1}}"
y(x y^{\prime\prime}+y^{\prime})= x y^{\prime2}(1-x).,y=C
x^{2}y y^{\prime\prime}+y^{\prime 2}=0.,|y|^{C_{1}^{2}+1}\;=\;C_{2}\Bigl(x-{\frac{1}{C_{1}}}\Bigr)|x+C_{1}|^{C_{1}^{2}};
x^{2}y y^{\prime\prime}+y^{\prime 2}=0.,y\;=\;C
x^{2}(y^{\prime}{}^{2}-2y y^{\prime\prime})=y^{2}.,y\ =\ C_{2}x(\ln C_{1}x)^{2}
x^{2}(y^{\prime}{}^{2}-2y y^{\prime\prime})=y^{2}.,y\ =\ C x.
x y y^{\prime\prime}=y^{\prime}(y+y^{\prime}).,"\ln|y|\,=\,\ln|x^{2}-\,2x\,+\,C_{1}|+\int{\frac{2\mathrm{d}x}{(x-1)^{2}+C_{1}-1}}+C_{2};"
x y y^{\prime\prime}=y^{\prime}(y+y^{\prime}).,y=C.
4x^{2}y^{3}y^{\prime\prime}= \ x^{2}-y^{4}.,4C_{1}y^{2}=4x+x(C_{1}\ln C_{2}x)^{2}.
x^{3}y^{\prime\prime}=(y-x y^{\prime})(y-x y^{\prime}-x).,y=-x\ln(C_{2}\ln C_{1}x)
x^{3}y^{\prime\prime}=(y-x y^{\prime})(y-x y^{\prime}-x).,y=C x.
{\frac{y^{2}}{x^{2}}}+y^{\prime2}=3x y^{\prime\prime}+{\frac{2y y^{\prime}}{x}}.,"{\begin{array}{l}{{\frac{y}{x}}=C_{2}-3\ln{\big\vert}{\frac{1}{x}}-C_{1}{\big\vert}}\end{array}}\,"
{\frac{y^{2}}{x^{2}}}+y^{\prime2}=3x y^{\prime\prime}+{\frac{2y y^{\prime}}{x}}.,y=Cx
y^{\prime\prime}=\left(2x y-{\frac{5}{x}}\right)y^{\prime}+4y^{2}-{\frac{4y}{x^{2}}}.,"x^{2}y=C_{1}\,\mathrm{tg}(C_{1}\ln C_{2}x),\,C_{2}(x^{2}y+C_{1})\vert x\vert^{2C_{1}^{.}}=x^{2}y-C_{1};"
y^{\prime\prime}=\left(2x y-{\frac{5}{x}}\right)y^{\prime}+4y^{2}-{\frac{4y}{x^{2}}}.,"x^{2}y\mathrm{ln}\,C x=-1."
x^{2}(2y y^{\prime\prime}-y^{\prime}{}^{2})=1-2x y y^{\prime}.,4(C_{1}y-1)=C_{1}^{2}\ln^{2}C_{2}x.
x^{2}(y y^{\prime\prime}-y^{\prime 2})+x y y^{\prime}=(2x y^{\prime}-3y)\sqrt{x^3}.,Cy=x^{3/2}( C_{2}x^ C\left.+2\right)
x^{2}(y y^{\prime\prime}-y^{\prime 2})+x y y^{\prime}=(2x y^{\prime}-3y)\sqrt{x^3}.,y=C x^{3/2}
x^{2}(y y^{\prime\prime}-y^{\prime 2})+x y y^{\prime}=(2x y^{\prime}-3y)\sqrt{x^3}.,y=-2x^{3/2}\ln{Cx}
x^{4}(y^{\prime2}-2y y^{\prime\prime})=4x^{3}y y^{\prime}+1.,2C_{2}x^{2}y=(C_{2}x-C_{1})^{2}-1;
x^{4}(y^{\prime2}-2y y^{\prime\prime})=4x^{3}y y^{\prime}+1.,xy = \pm 1
y y^{\prime}+x y y^{\prime\prime}-x y^{\prime2}=x^{3}.,2C_{1}C_{2}y=C_{2}^{2}|x|^{2+C_{1}}+|x|^{2-C_{1}}
y^{\prime\prime}+y^{\prime}-2y=0.,y=C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-2x}
y^{\prime\prime}+4y^{\prime}+3y=0.,y=C_{1}\mathrm{e}^{-x}+C_{2}\mathrm{e}^{-3x}.
y^{\prime\prime}-2y^{\prime}=0.,y=C_1 {}+{C_{2}\mathrm{e}^{2x}}.
2y^{\prime\prime}-5y^{\prime}+2y=0.,y=C_{1}\mathrm{e}^{2x}+C_{2}\mathrm{e}^{x/2}.
y^{\prime\prime}-4y^{\prime}+5y=0.,"y\,=\,\mathrm{e}^{2x}(C_{1}\cos x\,+\,C_{2}\sin x)."
y^{\prime\prime}+2y^{\prime}+10y=0.,"y\,=\,\mathrm{e}^{-x}(C_{1}\cos3x\,+\,C_{2}\sin3x)."
y^{\prime\prime}+4y=0.,"y\,=\,C_{1}\cos\,2x+C_{2}\sin\,2x."
y^{\prime\prime\prime}-8y=0.,y=C_{1}\mathrm{e}^{2x}+\mathrm{e}^{-x}(C_{2}\cos x\sqrt{3}+C_{3}\sin x\sqrt{3}).
y^{\mathrm{IV}}-y=0.,"y=C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-x}\,+C_{3}\cos x+C_{4}\sin x."
"y^{\mathrm{IV}}\,+\,4y=0.","y=\mathrm{e}^{x}(C_{1}\cos x+C_{2}\sin x)+\mathrm{e}^{-x}(C_{3}\cos x+\,C_{4}\,\sin x)."
y^{\mathrm{VI}}+64y=0.,"y=\mathrm{e}^{x{\sqrt{3}}}(C_{1}\mathrm{cos}\,x+C_{2}\sin x)+C_{3}\cos2x+C_{4}\sin2x+\ \mathrm{e}^{-x\sqrt{3}}(C_{5}\cos x\,+\,C_{6}\sin x)."
y^{\prime\prime}-2y^{\prime}+y=0.,y=e^{x}(C_{1}\:+\:C_{2}.x).
4y^{\prime\prime}+4y^{\prime}+y=0.,"y=mathrm{e}^{-x/2}\bigl(C_{1}\,+\,C_{2}x\bigr)."
y^{\mathrm{V}}-6y^{\mathrm{IV}}+9y^{\prime\prime\prime}=0.,"y\;=\;C_{1}\,+\,C_{2}x\,+\,C_{3}x^{2}\,+\,\mathrm{e}^{3x}\,(C_{4}\,+\,C_{5}x)."
y^{V}-10y^{\prime\prime\prime}+9y^{\prime}=0.,"y=C_{1}\,+\,C_{2}\mathrm{e}^{x}\,+\,C_{3}\mathrm{e}^{-x}\,+\,C_{4}\mathrm{e}^{3x}\,+\,C_{5}\mathrm{e}^{-3x}."
y^{\mathrm{IV}}+2y^{\prime\prime}+y=0.,"y\,=\,(C_{1}+C_2x)\cos{x} + (C_3 + C_4x)\sin{x}"
y^{\prime\prime\prime}-3y^{\prime\prime}+3y^{\prime}-y=0,"y=\mathrm{e}^{x}(C_{1}\,+\,C_{2}x\,+\,C_{3}x^{~2})."
y^{\prime\prime\prime}-y^{\prime\prime}-y^{\prime}+y=0.,"y\;=\;\mathrm{e}^{x}(C_{1}\,+\,C_{2}x)\,+\,C_{3}\mathrm{e}^{-x}."
y^{\mathrm{IV}}-5y^{\prime\prime}+4y=0.,"y\,=\,C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-x}+C_{3}\mathrm{e}^{2x}+\,C_{4}\mathrm{e}^{-2x}."
y^{V}+8y^{\prime\prime\prime}+16y^{\prime}=0.,"y=C_{1}\,+\,(C_{2}\,+\,C_{3}x)\cos2x\,+\,(C_{4}\,+\,C_{5}x)\sin2x."
y^{\prime\prime\prime}-3y^{\prime}+2y=0.,"y~=~\mathrm{e}^{x}(C_{1}\,+\,C_{2}x)\,+\,C_{3}\mathrm{e}^{-2x}."
y^{\mathrm{IV}}+4y^{\prime\prime}+3y=0.,y\ =\ C_{1}\cos x+C_{2}\sin x+C_{3}\cos x\sqrt{3}+{\cal C}_{4}\sin x\sqrt{3}.
y^{\prime\prime}-2y^{\prime}-3y=\mathrm{e}^{4x}.,y=C_{1}\mathrm{e}^{-x}+C_{2}\mathrm{e}^{3x}+(1/5)\mathrm{e}^{4x}.
y^{\prime\prime}+y=4x\mathrm{e}^{x}.,"y=\,C_{1}\cos x+C_{2}\sin x+(2x-2)\mathrm{e}^{x}."
